"","sample","lower","upper"
"1","C99601a",56.59382,80.60385
"2","C99601b",54.28884,82.46553
"3","C86001a",56.09936,82.44614
"4","c86001b",56.91598,82.25939
"5","c81401a",52.57685,80.00015
"6","c81401b",58.27585,82.46591
"7","L11201a",52.55281,82.01946
"8","L11201b",52.51408,82.47741
"9","L22201a",52.5725,82.42584
"10","L22201b",54.8597,82.47306
"11","L19801a",52.54572,82.47908
"12","L19801b",52.56939,82.4194
"13","L11901a",52.53024,82.34358
"14","L11901b",53.01889,80.22886
"15","C74401a",55.25304,82.44978
"16","C74401b",56.53353,82.46692
"17","C76501a",52.62775,81.41109
"18","C76501b",54.70016,81.47022
"19","C61601a",46.54837,80.03778
"20","C61601b",56.72936,81.1523
"21","C15701a",57.48291,80.05449
"22","C15701b",48.63918,82.55743
"23","C67201a",57.55089,84.3389
"24","C67201b",56.00896,83.08836
"25","M7201a",53.76335,81.92233
"26","M7201b",55.30603,81.11704
"27","M77501a",57.68838,82.04251
"28","M77501b",58.25374,80.00295
"29","M77801a",56.07728,80.94562
"30","M77801b",54.87767,86.41303
"31","M52407a",56.95131,84.45903
"32","M52407b",57.80827,83.41362
"33","M87401a",46.6334,80.32829
"34","M87401b",50.61016,84.88782
"35","M88301a",55.37456,82.14545
"36","M88301b",50.59256,81.83646
"37","M11608a",58.73376,81.23709
"38","M11608b",57.80853,83.1569
"39","M41708a",46.56534,81.11714
"40","M41708b",46.548,88.45227
"41","M9702a",50.23281,80.03711
"42","M9702b",59.33318,81.27078
"43","M10302a",47.42208,88.45242
"44","M10302b",46.95905,84.4076
"45","M10002a",58.25358,81.68197
"46","M10002b",50.55785,80.44813
"47","M42309a",46.5473,84.45822
"48","M42309b",49.16942,80.61911
"49","C16a",52.51872,82.38875
"50","C16b",52.5867,80.12333
"51","C21a",59.54447,82.30794
"52","C21b",52.53737,80.75397
"53","C17a",56.99705,80.0138
"54","C17b",52.58627,81.02293
"55","C15a",52.56505,80.16503
"56","C15b",54.46327,82.2333
"57","C31a",54.31738,82.4074
"58","C31b",57.13733,82.42741
"59","C39a",55.99845,81.08847
"60","C39b",52.52465,82.46466
"61","C34a",52.52123,82.47452
"62","C34b",53.65718,81.43052
"63","C40a",52.53993,82.47994
"64","C40b",53.90697,82.41368
"65","C29a",58.83994,82.4267
"66","C29b",52.5895,80.01281
"67","C03a",57.6976,82.30099
"68","C03b",57.92802,80.06139
"69","C06a",53.8999,82.43996
"70","C06b",54.6428,82.27618
"71","C04a",57.63528,82.42208
"72","C04b",53.14536,80.6987
